feature,importance
previous_loan_defaults_on_file_Yes,0.1967896800197905
previous_loan_defaults_on_file_No,0.19334246833289767
loan_int_rate,0.12511404814864222
DTI,0.11778984544927405
log_income,0.09357837927263486
log_loan_amount,0.04821735607659738
credit_score,0.04446201821619789
person_home_ownership_RENT,0.028442005248279372
age,0.025864885822071162
cred_hist_len,0.021794621069249523
person_home_ownership_MORTGAGE,0.019526387521305606
person_home_ownership_OWN,0.008383811544154808
person_education_Bachelor,0.005274507361712312
person_education_Associate,0.0050920502952112754
person_education_High School,0.00493720683645452
person_gender_male,0.004861726031131443
person_gender_female,0.004859568553377177
loan_purpose_canon_venture,0.004510683068233459
loan_intent_VENTURE,0.004440563007183132
person_education_Master,0.0043238022660660414
age_bucket_26-35,0.0036051278296810284
age_bucket_<=25,0.0033534100077854544
loan_purpose_canon_debtconsolidation,0.003277377401882132
loan_purpose_canon_medical,0.003055562692663294
loan_intent_DEBTCONSOLIDATION,0.003016264183488676
loan_intent_MEDICAL,0.0029763505608369433
loan_purpose_canon_homeimprovement,0.002930499379698936
loan_intent_EDUCATION,0.0028585820337493767
loan_intent_HOMEIMPROVEMENT,0.0026733679105536987
loan_purpose_canon_education,0.0025016957163733664
loan_purpose_canon_personal,0.0022858140652142972
loan_intent_PERSONAL,0.002165419749285225
age_bucket_36-50,0.0018398912923918086
person_education_Doctorate,0.0009293035303980429
person_home_ownership_OTHER,0.0004252727725272318
age_bucket_51-65,0.00041071632554056124
age_bucket_65+,8.973040746567486e-05
